iter	Logloss
0	0.6885606423
1	0.6838448827
2	0.6785350273
3	0.6745000621
4	0.6706889951
5	0.6664473477
6	0.6623248774
7	0.6588188539
8	0.65481129
9	0.6505242882
10	0.6465554577
11	0.6424212906
12	0.6390097708
13	0.6359013157
14	0.6332882648
15	0.6299820835
16	0.6267404054
17	0.6236814843
18	0.6215619966
19	0.618486796
20	0.616022909
21	0.6137021516
22	0.6119378256
23	0.6095276263
24	0.6073593658
25	0.6048288024
26	0.6032379023
27	0.6016663669
28	0.6002158124
29	0.5988015621
30	0.5965509553
31	0.5953075856
32	0.593296645
33	0.5917556407
34	0.5895590586
35	0.5878717664
36	0.5867391207
37	0.5853578328
38	0.5836440345
39	0.5825686539
40	0.5811355118
41	0.5796708301
42	0.5783456
43	0.5772031541
44	0.5756196617
45	0.5742784863
46	0.5728883715
47	0.5712076021
48	0.5699564448
49	0.5692269585
50	0.5685169014
51	0.5674153304
52	0.5668007177
53	0.5657710761
54	0.5647232966
55	0.5634052983
56	0.562450375
57	0.5615645107
58	0.5608318656
59	0.5597377353
60	0.5588679191
61	0.5581862535
62	0.5572195318
63	0.5561965528
64	0.5549336341
65	0.5540939157
66	0.5530706374
67	0.5524911611
68	0.5515550257
69	0.5503169481
70	0.5494553233
71	0.5483553951
72	0.5473655971
73	0.5468607165
74	0.5456455853
75	0.545225791
76	0.5445744458
77	0.544066909
78	0.5432821551
79	0.5423421653
80	0.5415641005
81	0.5409504344
82	0.5400118161
83	0.5393708449
84	0.5379940744
85	0.5370349337
86	0.5367557279
87	0.5362112813
88	0.5353812634
89	0.5345509357
90	0.5335151576
91	0.5325900544
92	0.531915042
93	0.5313304369
94	0.5307930919
95	0.5300310573
96	0.5292930368
97	0.5283604348
98	0.5277121327
99	0.5271040736
100	0.5262179679
101	0.5252883808
102	0.5245755926
103	0.5242563541
104	0.5237061525
105	0.5234425892
106	0.5227392458
107	0.5220799143
108	0.5214559
109	0.5208258263
110	0.520344288
111	0.5198075153
112	0.5193780591
113	0.5185906769
114	0.5177726639
115	0.517194562
116	0.5165835629
117	0.5162854254
118	0.5158186446
119	0.5149355034
120	0.5142227454
121	0.5136637786
122	0.5129830902
123	0.5124876892
124	0.5119670013
125	0.5115218524
126	0.5110626209
127	0.5103415119
128	0.5097215123
129	0.5093706591
130	0.5087877017
131	0.5082628207
132	0.5078798961
133	0.5076899088
134	0.5073860233
135	0.5068757243
136	0.506468396
137	0.5060471675
138	0.5056144818
139	0.5052568314
140	0.504758685
141	0.5041676237
142	0.5039719432
143	0.5033545411
144	0.5031258165
145	0.5028574647
146	0.5026127861
147	0.5020138659
148	0.5016028904
149	0.5012292275
150	0.5006376206
151	0.5002070465
152	0.4995507426
153	0.4990914563
154	0.4986412801
155	0.4981292929
156	0.4976792299
157	0.4971209706
158	0.4965999821
159	0.496252951
160	0.4960302828
161	0.4956277751
162	0.4952289083
163	0.4947222901
164	0.4942897661
165	0.4939847262
166	0.4934672957
