iter	Logloss
0	0.6919532002
1	0.6909609239
2	0.6899588795
3	0.6889712749
4	0.6879106222
5	0.6869879357
6	0.6860384325
7	0.6850420912
8	0.6842403829
9	0.6833325608
10	0.6825221158
11	0.681509272
12	0.680693488
13	0.6799008197
14	0.679144372
15	0.678269191
16	0.6776449458
17	0.6768184836
18	0.6759881386
19	0.6753957456
20	0.6747856368
21	0.6741371837
22	0.6735795554
23	0.6730937616
24	0.6723982885
25	0.6717370339
26	0.6710715322
27	0.6704505026
28	0.6698704866
29	0.6692095959
30	0.6686949834
31	0.6680761379
32	0.6676324499
33	0.6670821628
34	0.6664112008
35	0.6658154709
36	0.6652470431
37	0.6646593826
38	0.6641908801
39	0.6638044657
40	0.6633582902
41	0.6630508696
42	0.6624730984
43	0.6620567731
44	0.6615589665
45	0.6610140184
46	0.6604148304
47	0.6600361212
48	0.6595935859
49	0.6591940666
50	0.6586889794
51	0.6583443067
52	0.6579244018
53	0.6574117915
54	0.6570212514
55	0.6565340622
56	0.6562072269
57	0.6556316398
58	0.655207488
59	0.6545374967
60	0.65422049
61	0.6536927726
62	0.6533748558
63	0.6530256935
64	0.6526905462
65	0.6522116083
66	0.6516470027
67	0.6511240783
68	0.6507459758
69	0.6502598787
70	0.6497225145
71	0.6495139272
72	0.6490690865
73	0.6487326044
74	0.6482668928
75	0.6479626877
76	0.6476178937
77	0.6472400339
78	0.6469008216
79	0.6466954499
80	0.6462658376
81	0.6458311289
82	0.6454494469
83	0.6450384606
84	0.6446366358
85	0.6441959207
86	0.6438094456
87	0.6435040878
88	0.6431230731
89	0.6425951129
90	0.6422133702
91	0.6419559426
92	0.6416189144
93	0.6412657478
94	0.64084287
95	0.640615414
96	0.6403570156
97	0.639841129
98	0.6393455672
99	0.6388522503
100	0.6384333768
101	0.6380433221
102	0.6376372502
103	0.6374736809
104	0.637035332
105	0.6366486142
106	0.6363637026
107	0.6360027093
108	0.6356301886
109	0.635313364
110	0.6350324566
111	0.6346896647
112	0.6344421872
113	0.6340507371
114	0.633663898
115	0.6334522164
116	0.6330951061
117	0.6328364651
118	0.632572121
119	0.6322566918
120	0.6319231219
121	0.6315896127
122	0.6313009395
123	0.6309306029
124	0.6306524864
125	0.6302816038
126	0.6300364318
127	0.6296145854
128	0.6293614048
129	0.6289419246
130	0.6287088261
